Copyright   : copyright
FilledStar  : filled star
HollowStar  : hollow star
SmileyFace  : smiley face
DoubleK     : double K
Omega       : Omega
SquidKnife  : squid with a knife
Pumpkin     : pumpkin
HookN       : hooked H
Teepee      : tent
Six         : six
SquigglyN   : lightning
AT          : pyramid
Ae          : a e
MeltedThree : melted three
Euro        : Euro symbol
Circle      : circle of hills
NWithHat    : mirrored N with a hat
Dragon      : dragon
QuestionMark: question mark
Paragraph   : paragraph mark
RightC      : forward C
LeftC       : backward C
Pitchfork   : pitchfork
Cursive     : cursive loop
Tracks      : square track
Balloon     : balloon
WeirdNose   : zeta
UpsideDownY : lambda
BT          : B T
