Wires                :Wires
Button               :The Button
Keypad               :Keypad
SimonSays            :Simon Says
WhosOnFirst          :Who's on First
Memory               :Memory
MorseCode            :Morse Code
ComplicatedWires     :Complicated Wires
WireSequence         :Wire Sequence
Maze                 :Maze
Password             :Password
Knob                 :Knob

ColourFlash          :Colour Flash
Listening            :Listening
SimonStates          :Simon States
SillySlots           :Silly Slots
Laundry              :Laundry
Souvenir             :Souvenir
Hexamaze             :Hexamaze
ThirdBase            :Third Base
AdventureGame        :Adventure Game
PianoKeys            :Piano Keys
